title,description,subjects,preprocesado_lema,preprocesado,texto_limpio,contador_palabras,subjects_old
Alice's Adventures in Wonderland,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.

One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre.","['fantasy', 'science_fiction']",alice adventures wonderland commonly alice wonderland 1865 english child novel lewis carroll young girl name alice fall through rabbit hole into fantasy world anthropomorphic creature see example literary nonsense genre one well know work victorian literature narrative structure character imagery huge influence popular culture literature especially fantasy genre,alice adventures wonderland commonly alice wonderland 1865 english children novel lewis carroll young girl named alice falls through rabbit hole into fantasy world anthropomorphic creatures seen example literary nonsense genre one best known works victorian literature narrative structure characters imagery huge influence popular culture literature especially fantasy genre,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.
One of the best known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre.",48,"['fantasy', 'humor', 'science_fiction']"
The Wonderful Wizard of Oz,"Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas.","['fantasy', 'science_fiction']",over century after initial publication wonderful wizard oz still captivate heart countless reader come adventure dorothy her three friend scarecrow tin woodman cowardly lion follow yellow brick road emerald city audience great oz mighty wizard land only one can return dorothy her home kansas,over century after initial publication wonderful wizard oz still captivating hearts countless readers come adventure dorothy her three friends scarecrow tin woodman cowardly lion follow yellow brick road emerald city audience great oz mightiest wizard land only one can return dorothy her home kansas,"Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas.",44,"['fantasy', 'science_fiction', 'young_adult_fiction']"
Treasure Island,"Traditionally considered a coming-of-age story, Treasure Island is an adventure tale known for its atmosphere, characters and action, and also as a wry commentary on the ambiguity of morality — as seen in Long John Silver — unusual for children's literature then and now. It is one of the most frequently dramatized of all novels. The influence of Treasure Island on popular perceptions of pirates is enormous, including treasure maps marked with an ""X"", schooners, the Black Spot, tropical islands, and one-legged seamen carrying parrots on their shoulders","['fantasy', 'literature', 'mystery']",traditionally consider coming age story treasure island adventure tale know atmosphere character action also wry commentary ambiguity morality see long john silver unusual child literature then now one most frequently dramatize all novel influence treasure island popular perception pirate enormous include treasure map mark schooner black spot tropical island one legged seaman carry parrot shoulder,traditionally considered coming age story treasure island adventure tale known atmosphere characters action also wry commentary ambiguity morality seen long john silver unusual children literature then now one most frequently dramatized all novels influence treasure island popular perceptions pirates enormous including treasure maps marked schooners black spot tropical islands one legged seamen carrying parrots shoulders,"Traditionally considered a coming of age story, Treasure Island is an adventure tale known for its atmosphere, characters and action, and also as a wry commentary on the ambiguity of morality — as seen in Long John Silver — unusual for children's literature then and now. It is one of the most frequently dramatized of all novels. The influence of Treasure Island on popular perceptions of pirates is enormous, including treasure maps marked with an ""X"", schooners, the Black Spot, tropical islands, and one legged seamen carrying parrots on their shoulders",55,"['fantasy', 'historical_fiction', 'literature', 'thriller']"
Gulliver's Travels,"A parody of traveler’s tales and a satire of human nature, “Gulliver’s Travels” is Jonathan Swift’s most famous work which was first published in 1726. An immensely popular tale ever since its original publication, “Gulliver’s Travels” is the story of its titular character, Lemuel Gulliver, a man who loves to travel. A series of four journeys are detailed in which Gulliver finds himself in a number of amusing and precarious situations. In the first voyage, Gulliver is imprisoned by a race of tiny people, the Lilliputians, when following a shipwreck he is washed upon the shores of their island country. In his second voyage Gulliver finds himself abandoned in Brobdingnag, a land of giants, where he is exhibited for their amusement. In his third voyage, Gulliver once again finds himself marooned; fortunately he is rescued by the flying island of Laputa, a kingdom devoted to the arts of music and mathematics. He subsequently travels to the surrounding lands of Balnibarbi, Luggnagg, Glubbdubdrib, and Japan. Finally in his last voyage, when he is set adrift by a mutinous crew, he finds himself in the curious Country of the Houyhnhnms. Through the various experiences of Gulliver, Swift brilliantly satirizes the political and cultural environment of his time in addition to creating a lasting and enchanting tale of fantasy. This edition is illustrated by Milo Winter and includes an introduction by George R. Dennis.","['fantasy', 'literature']",parody traveler tale satire human nature gulliver travel jonathan swift most famous work which first publish 1726 immensely popular tale ever since original publication gulliver travel story titular character lemuel gulliver man who love travel series four journey detail which gulliver find himself number amusing precarious situation first voyage gulliver imprison race tiny people lilliputians when follow shipwreck he wash upon shore island country his second voyage gulliver find himself abandon brobdingnag land giant where he exhibit amusement his third voyage gulliver once again find himself maroon fortunately he rescue fly island laputa kingdom devote art music mathematic he subsequently travel surround land balnibarbi luggnagg glubbdubdrib japan finally his last voyage when he set adrift mutinous crew he find himself curious country houyhnhnms through various experience gulliver swift brilliantly satirize political cultural environment his time addition create lasting enchanting tale fantasy edition illustrate milo winter include introduction george dennis,parody traveler tales satire human nature gulliver travels jonathan swift most famous work which first published 1726 immensely popular tale ever since original publication gulliver travels story titular character lemuel gulliver man who loves travel series four journeys detailed which gulliver finds himself number amusing precarious situations first voyage gulliver imprisoned race tiny people lilliputians when following shipwreck he washed upon shores island country his second voyage gulliver finds himself abandoned brobdingnag land giants where he exhibited amusement his third voyage gulliver once again finds himself marooned fortunately he rescued flying island laputa kingdom devoted arts music mathematics he subsequently travels surrounding lands balnibarbi luggnagg glubbdubdrib japan finally his last voyage when he set adrift mutinous crew he finds himself curious country houyhnhnms through various experiences gulliver swift brilliantly satirizes political cultural environment his time addition creating lasting enchanting tale fantasy edition illustrated milo winter includes introduction george dennis,"A parody of traveler’s tales and a satire of human nature, “Gulliver’s Travels” is Jonathan Swift’s most famous work which was first published in 1726. An immensely popular tale ever since its original publication, “Gulliver’s Travels” is the story of its titular character, Lemuel Gulliver, a man who loves to travel. A series of four journeys are detailed in which Gulliver finds himself in a number of amusing and precarious situations. In the first voyage, Gulliver is imprisoned by a race of tiny people, the Lilliputians, when following a shipwreck he is washed upon the shores of their island country. In his second voyage Gulliver finds himself abandoned in Brobdingnag, a land of giants, where he is exhibited for their amusement. In his third voyage, Gulliver once again finds himself marooned; fortunately he is rescued by the flying island of Laputa, a kingdom devoted to the arts of music and mathematics. He subsequently travels to the surrounding lands of Balnibarbi, Luggnagg, Glubbdubdrib, and Japan. Finally in his last voyage, when he is set adrift by a mutinous crew, he finds himself in the curious Country of the Houyhnhnms. Through the various experiences of Gulliver, Swift brilliantly satirizes the political and cultural environment of his time in addition to creating a lasting and enchanting tale of fantasy. This edition is illustrated by Milo Winter and includes an introduction by George R. Dennis.",149,"['fantasy', 'historical_fiction', 'humor', 'literature', 'short_stories']"
The Prince,"The Prince (Italian: Il Principe [il ˈprintʃipe]; Latin: De Principatibus) is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli as an instruction guide for new princes and royals. The general theme of The Prince is of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends.

From Machiavelli's correspondence, a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities). However, the printed version was not published until 1532, five years after Machiavelli's death. This was carried out with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".

Although The Prince was written as if it were a traditional work in the mirrors for princes style, it was generally agreed as being especially innovative. This is partly because it was written in the vernacular Italian rather than Latin, a practice that had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature.","['fantasy', 'literature']",prince italian il principe il printipe latin de principatibus 16th century political treatise write italian diplomat political theorist niccol machiavelli instruction guide new prince royal general theme prince accept aim prince such glory survival can justify use immoral mean achieve end machiavelli correspondence version appear distribute 1513 use latin title de principatibus principalities however print version publish until 1532 five year after machiavelli death carry out permission medici pope clement vii long before then fact since first appearance prince manuscript controversy swirl his writing although prince write traditional work mirror prince style generally agree especially innovative partly because write vernacular italian rather than latin practice become increasingly popular since publication dante divine comedy other work renaissance literature,prince italian il principe il printipe latin de principatibus 16th century political treatise written italian diplomat political theorist niccol machiavelli instruction guide new princes royals general theme prince accepting aims princes such glory survival can justify use immoral means achieve ends machiavelli correspondence version appears distributed 1513 using latin title de principatibus principalities however printed version published until 1532 five years after machiavelli death carried out permission medici pope clement vii long before then fact since first appearance prince manuscript controversy swirled his writings although prince written traditional work mirrors princes style generally agreed especially innovative partly because written vernacular italian rather than latin practice become increasingly popular since publication dante divine comedy other works renaissance literature,"The Prince (Italian: Il Principe [il ˈprintʃipe]; Latin: De Principatibus) is a 16th century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli as an instruction guide for new princes and royals. The general theme of The Prince is of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends.
From Machiavelli's correspondence, a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities). However, the printed version was not published until 1532, five years after Machiavelli's death. This was carried out with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".
Although The Prince was written as if it were a traditional work in the mirrors for princes style, it was generally agreed as being especially innovative. This is partly because it was written in the vernacular Italian rather than Latin, a practice that had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature.",117,"['fantasy', 'literature']"
Through the Looking-Glass,"*Through the Looking-Glass, and What Alice Found There* (1871) is a work of children's literature by Lewis Carroll (Charles Lutwidge Dodgson), generally categorized in the fairy tale genre. It is the sequel to *Alice's Adventures in Wonderland* (1865). Although it makes no reference to the events in the earlier book, the themes and settings of *Through the Looking-Glass* make it a kind of mirror image of Wonderland: the first book begins outdoors, in the warm month of May, uses frequent changes in size as a plot device, and draws on the imagery of playing cards; the second opens indoors on a snowy, wintry night exactly six months later, on November 4 (the day before Guy Fawkes Night), uses frequent changes in time and spatial directions as a plot device, and draws on the imagery of chess. In it, there are many mirror themes, including opposites, time running backwards, and so on. ([Wikipedia][1])


  [1]: http://en.wikipedia.org/wiki/Through_the_Looking-Glass",['fantasy'],through looking glass what alice find there 1871 work child literature lewis carroll charles lutwidge dodgson generally categorize fairy tale genre sequel alice adventure wonderland 1865 although make reference event early book theme setting through looking glass make kind mirror image wonderland first book begin outdoors warm month may use frequent change size plot device draw imagery playing card second open indoors snowy wintry night exactly six month later november day before guy fawkes night use frequent change time spatial direction plot device draw imagery chess there many mirror theme include opposite time run backwards,through looking glass what alice found there 1871 work children literature lewis carroll charles lutwidge dodgson generally categorized fairy tale genre sequel alice adventures wonderland 1865 although makes reference events earlier book themes settings through looking glass make kind mirror image wonderland first book begins outdoors warm month may uses frequent changes size plot device draws imagery playing cards second opens indoors snowy wintry night exactly six months later november day before guy fawkes night uses frequent changes time spatial directions plot device draws imagery chess there many mirror themes including opposites time running backwards,"*Through the Looking Glass, and What Alice Found There* (1871) is a work of children's literature by Lewis Carroll (Charles Lutwidge Dodgson), generally categorized in the fairy tale genre. It is the sequel to *Alice's Adventures in Wonderland* (1865). Although it makes no reference to the events in the earlier book, the themes and settings of *Through the Looking Glass* make it a kind of mirror image of Wonderland: the first book begins outdoors, in the warm month of May, uses frequent changes in size as a plot device, and draws on the imagery of playing cards; the second opens indoors on a snowy, wintry night exactly six months later, on November 4 (the day before Guy Fawkes Night), uses frequent changes in time and spatial directions as a plot device, and draws on the imagery of chess. In it, there are many mirror themes, including opposites, time running backwards, and so on. ()",95,['fantasy']
Five Children and It,"Haven't you ever thought what you would wish for if you were granted three wishes? In Nesbit's delightful classic, five siblings find a creature that grants their wishes, but as the old saying goes: be careful what you wish for, it might come true...",['fantasy'],ever think what would wish grant three wish nesbit delightful classic five sibling find creature grant wish old saying go careful what wish might come true,ever thought what would wish granted three wishes nesbit delightful classic five siblings find creature grants wishes old saying goes careful what wish might come true,"Haven't you ever thought what you would wish for if you were granted three wishes? In Nesbit's delightful classic, five siblings find a creature that grants their wishes, but as the old saying goes: be careful what you wish for, it might come true...",26,['fantasy']
A Midsummer Night's Dream,"One night two young couples run into an enchanted forest in an attempt to escape their problems. But these four humans do not realize that the forest is filled with fairies and hobgoblins who love making mischief. When Oberon, the Fairy King, and his loyal hobgoblin servant, Puck, intervene in human affairs, the fate of these young couples is magically and hilariously transformed. Like a classic fairy tale, this retelling of William Shakespeare's most beloved comedy is perfect for older readers who will find much to treasure and for younger readers who will love hearing the story read aloud.","['fantasy', 'literature']",one night two young couple run into enchanted forest attempt escape problem four human realize forest fill fairy hobgoblin who love make mischief when oberon fairy king his loyal hobgoblin servant puck intervene human affair fate young couple magically hilariously transform like classic fairy tale retelling william shakespeare most beloved comedy perfect old reader who will find much treasure young reader who will love hear story read aloud,one night two young couples run into enchanted forest attempt escape problems four humans realize forest filled fairies hobgoblins who love making mischief when oberon fairy king his loyal hobgoblin servant puck intervene human affairs fate young couples magically hilariously transformed like classic fairy tale retelling william shakespeare most beloved comedy perfect older readers who will find much treasure younger readers who will love hearing story read aloud,"One night two young couples run into an enchanted forest in an attempt to escape their problems. But these four humans do not realize that the forest is filled with fairies and hobgoblins who love making mischief. When Oberon, the Fairy King, and his loyal hobgoblin servant, Puck, intervene in human affairs, the fate of these young couples is magically and hilariously transformed. Like a classic fairy tale, this retelling of William Shakespeare's most beloved comedy is perfect for older readers who will find much to treasure and for younger readers who will love hearing the story read aloud.",68,"['fantasy', 'literature', 'magic', 'plays', 'poetry']"
The Lost World,"Journalist Ed Malone is looking for an adventure, and that's exactly what he finds when he meets the eccentric Professor Challenger - an adventure that leads Malone and his three companions deep into the Amazon jungle, to a lost world where dinosaurs roam free.","['fantasy', 'science_fiction', 'mystery']",journalist ed malone look adventure exactly what he find when he meet eccentric professor challenger adventure lead malone his three companion deep into amazon jungle lost world where dinosaur roam free,journalist ed malone looking adventure exactly what he finds when he meets eccentric professor challenger adventure leads malone his three companions deep into amazon jungle lost world where dinosaurs roam free,"Journalist Ed Malone is looking for an adventure, and that's exactly what he finds when he meets the eccentric Professor Challenger   an adventure that leads Malone and his three companions deep into the Amazon jungle, to a lost world where dinosaurs roam free.",31,"['fantasy', 'science_fiction', 'thriller']"
The Marvelous Land of Oz,"Tip and his creation, Jack Pumpkin, run away to Oz, where they save the city after it is captured by girls.",['fantasy'],tip his creation jack pumpkin run away oz where save city after capture girl,tip his creation jack pumpkin run away oz where save city after captured girls,"Tip and his creation, Jack Pumpkin, run away to Oz, where they save the city after it is captured by girls.",14,"['fantasy', 'magic']"
